Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Dreaming Sarah,"Asteristic Game Studio, Anthony Septim ",Asteristic Game Studio ,Sim,1565,Very Positive,2,Sim,Não,12 Mar 2015,7,0,7,outros,2,GEFORCE-210,0.2,"5,99"
Deisim,Myron Software ,Myron Software ,Não,325,Very Positive,1,Sim,Não,19 Dec 2016,12,1,12,outros,8,GEFORCE-GTX-980,1,"15,99"
Adera,HitPoint Inc. ,HitPoint Inc. ,Não,99,Very Positive,1,Não,Não,1 Aug 2012,8,1,8,,,,,"14,49"
aMAZE,Blender Games ,Blender Games ,Sim,338,Mostly Positive,1,Sim,Não,14 Mar 2017,1,0,0,outros,0.512,outros,0.06,"2,19"
Last Wood,扎司特工作室 ,"扎司特工作室, Gamera Game ",Sim,333,Mostly Positive,2,Não,Sim,23 Aug 2019,3,0,0,,,,,"28,99"
Train Fever,Urban Games ,Good Shepherd Entertainment ,Sim,2620,Mixed,3,Sim,Sim,4 Sep 2014,15,0,15,,,,,"36,99"
Dresden Files Cooperative Card Game,Hidden Achievement LLC ,Hidden Achievement LLC ,Sim,77,Very Positive,3,Sim,Sim,30 Oct 2017,4,0,0,outros,8,outros,2,"32,99"
Omerta - City of Gangsters,Haemimont Games ,Kalypso Media Digital ,Não,1356,Mostly Positive,1,Sim,Sim,31 Jan 2013,8,5,8,outros,4,GEFORCE-400,,"29,00"
Ignition,Unique Development Studios AB ,Interplay Entertainment Corp. ,Não,114,Very Positive,1,Não,Sim,1 Jan 1997,4,4,4,,1,outros,,"19,99"
Harvester,DigiFX Interactive ,Nightdive Studios ,Não,590,Very Positive,2,Sim,Não,25 Sep 1996,3,3,3,outros,1,outros,2,"11,99"
Another Try,Blue Wolf Studio ,Blue Wolf Studio ,Sim,143,Mostly Positive,1,Não,Sim,19 Apr 2020,1,0,0,INTEL-CORE-I5-4430,8,NVIDIA-GEFORCE-GTX-1050,2,"6,49"
Space Ace,Digital Leisure Inc. ,Digital Leisure Inc. ,Não,96,Very Positive,3,Não,Não,29 Apr 1984,5,1,0,,,,,"19,99"
Carnivores: Dinosaur Hunter Reborn,Digital Dreams Entertainment LLC ,Digital Dreams Entertainment LLC ,Sim,537,Mostly Positive,1,Sim,Não,27 May 2015,1,0,0,,,,,"27,99"
Outcast 1.1,Fresh3D ,THQ Nordic ,Não,420,Very Positive,1,Sim,Não,18 Dec 2014,7,3,6,,,,,"11,99"
Shadows on the Vatican Act I: Greed,"10th Art Studio, Daring Touch ","Adventure Productions, Daring Touch ",Sim,120,Mixed,1,Sim,Não,10 Jun 2014,7,2,7,outros,2,GEFORCE-200,2,"13,99"
Silicon Zeroes,PleasingFungus Games ,PleasingFungus Games ,Sim,181,Very Positive,3,Sim,Não,18 Sep 2017,1,0,0,,,,,"27,99"
StarCrawlers,Juggernaut Games ,Juggernaut Games ,Sim,632,Very Positive,3,Sim,Não,23 May 2017,1,1,1,,,,,"36,99"
Deck Hunter,L_Draven ,L_Draven ,Sim,200,Very Positive,1,Sim,Não,30 May 2019,2,2,2,outros,8,outros,0.4,"20,69"
Steel Fury Kharkov 1942,Graviteam ,Strategy First ,Não,52,Mostly Positive,1,Sim,Não,27 Sep 2010,2,0,0,outros,2.024,GEFORCE-7600,2.024,"28,99"
Silicon Zeroes,PleasingFungus Games ,PleasingFungus Games ,Sim,181,Very Positive,3,Sim,Não,18 Sep 2017,1,0,0,,,,,"27,99"
StarCrawlers,Juggernaut Games ,Juggernaut Games ,Sim,632,Very Positive,3,Sim,Não,23 May 2017,1,1,1,,,,,"36,99"
Deck Hunter,L_Draven ,L_Draven ,Sim,200,Very Positive,1,Sim,Não,30 May 2019,2,2,2,outros,8,outros,0.4,"20,69"
Steel Fury Kharkov 1942,Graviteam ,Strategy First ,Não,52,Mostly Positive,1,Sim,Não,27 Sep 2010,2,0,0,outros,2.024,GEFORCE-7600,2.024,"28,99"
Wordle 3,PreoNus Games ,gigantumgames ,Sim,97,Very Positive,1,Sim,Não,6 Oct 2020,1,1,1,outros,0.512,outros,0.055,"4,49"
Age of Wonders Shadow Magic,Triumph Studios ,Paradox Interactive ,Não,319,Very Positive,1,Sim,Sim,Oct 2010,1,0,0,,,,,"16,99"
Millennium 2 - Take Me Higher,Aldorlea Games ,Aldorlea Games ,Sim,29,Mostly Positive,1,Sim,Não,10 Jul 2014,1,0,0,,,,,"11,99"
The Hong Kong Massacre,VRESKI ,VRESKI ,Sim,508,Mixed,1,Não,Não,21 Jan 2019,1,1,1,,4,,6,"37,99"
Space Simulation Toolkit,Pavel Kudinov ,Pavel Kudinov ,Sim,27,Positive,1,Não,Não,5 Jun 2020,1,0,0,outros,4,outros,1,"28,99"
MX vs. ATV Supercross Encore,"Rainbow Studios, THQ Nordic ",THQ Nordic ,Não,501,Mixed,1,Não,Sim,27 Oct 2015,5,0,5,,,,,"55,99"
The World Next Door,Rose City Games ,VIZ Media ,Sim,135,Very Positive,2,Sim,Não,28 Mar 2019,1,0,1,outros,,outros,2,Free To Play
Gone Viral,Skullbot Games ,"Akupara Games, Surefire.Games ",Sim,16,Positive,1,Sim,Não,24 Sep 2020,7,1,0,,,,,"37,99"
Raiden IV: OverKill,"Moss Co., Ltd. ","H2 Interactive Co., Ltd. ",Não,356,Very Positive,1,Sim,Não,3 Sep 2015,1,0,1,INTEL-CORE-I3-,4,outros,1,"27,99"
Verdant Skies,Howling Moon Software ,Howling Moon Software ,Não,257,Very Positive,3,Sim,Não,12 Feb 2018,1,0,0,,4,,3,"37,99"
Wasted World,Achrony ,Achrony ,Sim,39,Positive,1,Sim,Não,6 May 2020,3,0,3,outros,8,outros,3,"37,99"
Avernum: Escape From the Pit,Spiderweb Software ,Spiderweb Software ,Sim,798,Very Positive,2,Sim,Não,11 Apr 2012,1,0,0,,,,,"19,99"
Battle Academy 2: Eastern Front,Slitherine Ltd. ,Slitherine Ltd. ,Não,109,Very Positive,2,Sim,Sim,12 Sep 2014,4,0,0,,,,,"72,99"
Desktop Tree,utStudio ,utStudio ,Sim,50,Very Positive,2,Não,Não,18 Sep 2018,7,0,0,outros,4,,0.5,"2,29"
